adv_correct_classification_tgt,clean_true_prob_src,clean_max_prob_src,adv_true_prob_tgt,adv_max_prob_tgt,model_src,model_tgt,attack,attack_param,l2_norm,ssim,clean_correct_classification
True,0.9859511256217957,0.9859511256217957,0.9973334074020386,0.9973334074020386,resnet50,vgg16,pgd,0.07,8.537359237670898,0.9478647112846376,True
True,0.9856581091880798,0.9856581091880798,0.99996817111969,0.99996817111969,resnet50,vgg16,pgd,0.07,8.61420726776123,0.935567319393158,True
True,0.9748320579528807,0.9748320579528807,0.9998540878295898,0.9998540878295898,resnet50,vgg16,pgd,0.07,8.610150337219238,0.9338967204093932,True
True,0.9967948794364928,0.9967948794364928,0.9998983144760132,0.9998983144760132,resnet50,vgg16,pgd,0.07,8.56181812286377,0.8874735832214355,True
True,0.9890475869178772,0.9890475869178772,0.9994675517082214,0.9994675517082214,resnet50,vgg16,pgd,0.07,8.413496971130371,0.9505451917648317,True
False,0.9987567663192748,0.9987567663192748,0.0201972592622041,0.3218407034873962,resnet50,vgg16,pgd,0.07,8.34218978881836,0.8837739825248718,False
True,0.99593985080719,0.99593985080719,0.9996440410614014,0.9996440410614014,resnet50,vgg16,pgd,0.07,8.724416732788086,0.9524062871932985,True
True,0.9934543371200562,0.9934543371200562,0.9298452138900756,0.9298452138900756,resnet50,vgg16,pgd,0.07,8.556769371032715,0.9193570613861084,True
True,0.9804065227508544,0.9804065227508544,0.9736353158950806,0.9736353158950806,resnet50,vgg16,pgd,0.07,8.598581314086914,0.8101441860198975,True
True,0.9984664916992188,0.9984664916992188,0.6925616264343262,0.6925616264343262,resnet50,vgg16,pgd,0.07,8.683276176452637,0.9404025077819824,True
True,0.9960901141166688,0.9960901141166688,0.9932374954223632,0.9932374954223632,resnet50,vgg16,pgd,0.07,8.701027870178223,0.9295016527175904,True
True,0.9962515234947203,0.9962515234947203,0.9988756775856018,0.9988756775856018,resnet50,vgg16,pgd,0.07,8.685393333435059,0.9380841255187988,True
True,0.9985600113868712,0.9985600113868712,0.9999903440475464,0.9999903440475464,resnet50,vgg16,pgd,0.07,8.707616806030273,0.9460055232048036,True
True,0.9903799295425416,0.9903799295425416,0.9406311511993408,0.9406311511993408,resnet50,vgg16,pgd,0.07,8.553356170654297,0.8286293745040894,True
